county,lat,lon,lat_min,lat_max,lon_min,lon_max
Baringo,0.81,35.9,-0.12,1.74,35.35,36.45
Bomet,-0.685,35.355,-0.87,-0.5,34.99,35.72
Bungoma,0.81,34.62,0.62,1.0,34.25,34.99
Busia,0.25,34.07,-0.12,0.62,33.89,34.25
Elgeyo-Marakwet,0.81,35.355,0.25,1.37,34.99,35.72
Embu,-0.495,37.555,-0.87,-0.12,37.19,37.92
Garissa,-0.495,40.12,-1.99,1.0,38.65,41.59
Homa Bay,-0.495,34.44,-0.87,-0.12,33.89,34.99
Isiolo,1.0,38.105,-0.12,2.12,36.82,39.39
Kajiado,-1.99,37.005,-3.11,-0.87,36.09,37.92
Kakamega,0.435,34.62,0.25,0.62,34.25,34.99
Kericho,-0.31,35.355,-0.5,-0.12,34.99,35.72
Kiambu,-1.055,37.0,-1.24,-0.87,36.45,37.55
Kilifi,-3.115,39.57,-3.86,-2.37,39.02,40.12
Kirinyaga,-0.495,37.37,-0.87,-0.12,37.19,37.55
Kisii,-0.685,34.805,-0.87,-0.5,34.62,34.99
Kisumu,-0.31,34.8,-0.5,-0.12,34.25,35.35
Kitui,-1.615,38.285,-3.11,-0.12,37.55,39.02
Kwale,-4.05,39.025,-4.61,-3.49,38.29,39.76
Laikipia,0.44,36.82,-0.12,1.0,36.09,37.55
Lamu,-1.995,40.855,-2.37,-1.62,40.12,41.59
Machakos,-1.245,37.37,-1.62,-0.87,36.82,37.92
Makueni,-2.365,37.92,-3.11,-1.62,37.19,38.65
Mandera,3.24,40.86,2.12,4.36,39.76,41.96
Marsabit,2.865,37.74,1.37,4.36,36.09,39.39
Meru,0.25,37.74,-0.12,0.62,37.19,38.29
Migori,-0.87,34.255,-1.24,-0.5,33.89,34.62
Mombasa,-4.045,39.76,-4.23,-3.86,39.76,39.76
Murang'a,-0.87,37.185,-1.24,-0.5,36.82,37.55
Nairobi,-1.24,37.005,-1.24,-1.24,36.82,37.19
Nakuru,-0.495,35.9,-1.24,0.25,35.35,36.45
Nandi,0.25,34.985,-0.12,0.62,34.62,35.35
Narok,-1.245,35.535,-1.99,-0.5,34.62,36.45
Nyamira,-0.685,34.805,-0.87,-0.5,34.62,34.99
Nyandarua,-0.31,36.455,-0.87,0.25,36.09,36.82
Nyeri,-0.31,36.82,-0.5,-0.12,36.45,37.19
Samburu,1.555,37.185,0.62,2.49,36.45,37.92
Siaya,-0.125,34.255,-0.5,0.25,33.89,34.62
Taita Taveta,-3.485,38.47,-4.23,-2.74,37.55,39.39
Tana River,-1.615,39.575,-3.11,-0.12,38.29,40.86
Tharaka-Nithi,-0.31,37.74,-0.5,-0.12,37.19,38.29
Trans Nzoia,1.185,34.985,1.0,1.37,34.62,35.35
Turkana,3.055,35.355,1.0,5.11,33.89,36.82
Uasin Gishu,0.44,35.355,-0.12,1.0,34.99,35.72
Vihiga,0.065,34.805,-0.12,0.25,34.62,34.99
Wajir,1.93,39.94,0.25,3.61,39.02,40.86
West Pokot,1.745,35.17,1.0,2.49,34.62,35.72
